Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-04-07,RELIANCE,EQ,1984.3,2000.0,2046.9,1993.3,2001.55,2002.85,2019.21,11198918,2261301434945000.0,286779,4098798,0.36600000000000005
2021-04-08,RELIANCE,EQ,2002.85,2011.0,2022.0,1993.0,2006.4,2005.35,2006.16,7092878,1422943168515000.0,191800,2633682,0.3713
2021-04-09,RELIANCE,EQ,2005.35,1998.45,2006.35,1980.0,1983.45,1982.05,1989.08,6478482,1288623494740000.0,234390,2807275,0.4333
2021-04-12,RELIANCE,EQ,1982.05,1959.0,1961.4,1900.25,1915.65,1911.15,1922.99,9646031,1854921283459999.8,330605,4432542,0.4595
2021-04-13,RELIANCE,EQ,1911.15,1924.0,1940.6,1917.85,1932.3,1931.8,1931.39,8958261,1730189036920000.0,206237,4960483,0.5537
2021-04-15,RELIANCE,EQ,1931.8,1926.3,1961.0,1913.0,1943.0,1944.3,1933.33,9102492,1759814886955000.0,189159,4483830,0.4926
2021-04-16,RELIANCE,EQ,1944.3,1936.6,1949.9,1926.45,1929.0,1932.1,1935.23,7225679,1398336435495000.0,206958,3583568,0.49590000000000006
2021-04-19,RELIANCE,EQ,1932.1,1904.0,1916.4,1890.0,1903.05,1901.7,1902.57,8527967,1622505956175000.0,271570,3886582,0.4557
2021-04-20,RELIANCE,EQ,1901.7,1910.5,1919.0,1890.45,1905.0,1901.15,1906.74,7939490,1513854171475000.0,202431,4616077,0.5814
2021-04-22,RELIANCE,EQ,1901.15,1892.25,1914.45,1876.7,1905.1,1906.4,1898.59,6687573,1269694826460000.0,209895,3155063,0.4718
2021-04-23,RELIANCE,EQ,1906.4,1906.0,1918.9,1895.35,1903.35,1904.35,1907.47,5459016,1041289396995000.1,171621,2589266,0.4743
2021-04-26,RELIANCE,EQ,1904.35,1920.0,1962.0,1911.5,1938.0,1937.85,1941.32,9620785,1867699462930000.0,259137,4276703,0.44450000000000006
2021-04-27,RELIANCE,EQ,1937.85,1940.0,1997.2,1938.25,1990.0,1988.65,1978.64,9226547,1825602129440000.2,291197,3772144,0.40880000000000005
2021-04-28,RELIANCE,EQ,1988.65,1997.85,2008.0,1980.15,1993.15,1997.3,1997.6,7902002,1578507608760000.0,247331,3921560,0.4963
